question,answer
"Where can I find Martia restaurant?","central Luna-Dome, near the teleportation hub"
"How much does a meal cost at DeMars?","between 15 and 30 Stelax"
"What kind of food does Terralds serve?","burgers and fries"
"Are there vegetarian options at EartHeart?","yes"
"Is Plutan restaurant kid-friendly?","yes"
"What is the most affordable restaurant in Luna-City?","Venood"
"How do I get to MarF from the teleportation hub?","loneibus from the teleportation hub, or a teleportation pad directly to MarF"
"Can I book a table at DeMars in advance?","yes, through the Luna-City app or their website"
"What is ixat, and how does it work?","ride-hailing service, you can book rides using the Luna-City app"
"Is teleportation really safe?","the delete and reconstruct is cheaper (10 Stelax), wormhole teleportation is (1000 Stelax)"
"How much does a reconstruct teleportation trip cost?","10 Stelax for short distances within Luna-City"
"Are there discounts for using loneibus?","a monthly pass for 100 Stelax saves 20%"
"How long does a lay last?","one 28th of an unit-charlie, approximately 13.55 terrestrian hours"
"What is a unit-charlie?","A unit-charlie is a period of 28 lays, equivalent to one lunar cycle"
"Why is the lunar day called a lay?","it symbolizes the unique rhythm of life on the Moon"
"Who is the city's flereek?","most revered being in Luna-City, known for being the first creature to cross the dark side"
"What makes the flereek so important?","the flereek's decisions directly influence the value of the Stelax currency in that lay"
"How is the value of Stelax determined?","based on the choices made by the city's flereek each lay"
"How do I pay in restaurants in Luna-City?","Most restaurants accept Stelax via the LunaPay app or pseudo-physical Stelax tokens"
"What is the dark side of the moon?","a secluded area where residents can explore their private 'interests' and 'personal growth'"
"Can tourists visit the dark side of the moon?","after a short orientation to understand the area's cultural significance"
"What are some rules for visiting the dark side?","respect privacy and adhere to local guidelines"
"How do I get to the dark side of the moon?","reconstruct teleport for 50 Stelax or wormhole teleport for 1050 Stelax"
"Can I use reconstruct teleportation to travel outside Luna-City?","reconstruct teleportation is restricted to destinations within Luna-City"
"Are loneibus routes well-connected?","loneibus routes cover all major areas"
"Is there a lunar map for tourists?","a digital map is available from the Lunar Information Institute or the city app"
"How do I book an ixat ride?","Luna-City app, choose ixat, and enter the destination"
"Can I pay with other currencies in Luna-City?","only Stelax"
"What is Venood's specialty dish?","lunar-grilled sandwiches and Martian mineral shakes"
"What does a meal at Plutan cost?","from 20 to 50 Stelax"
"Are there restaurants open late in Luna-City?","Terralds and Venood"
"How often do loneibus buses run?","every 10 minads during peak hours and every 20 minads otherwise"
"Can I visit the flereek?","no"
"Is the flereek's sanctuary visible?","yes, from the observation deck in the central Luna-Dome"
"Can I exchange Stelax for Earth currencies?","no"
"Are there luxury transport options in Luna-City?","wormhole teleportation or a VIB ixat ride for an elevated experience"
"How do I know what the flereek decided?","the decisions are announced at the start of each lay through a public announcement"
"Do restaurants accept tips in Stelax?","no"
"Are there multilingual guides in Luna-City?","yes through the Lunar Information Institute"
"What is the best way to explore Luna-City?","the loneibus is the best way to navigate Luna-City efficiently"
"Is there a guidebook for Luna-City?","the free guidebook from the Luna-City app or purchase a printed version."
"What happens if I run out of Stelax?","trade in gold of exactly 99.69% purity"
"Are there any hidden attractions in Luna-City?","the dark side offers unique, undiscovered experiences"
"Are there safety measures in teleportation?","use it at your own risk and your view on life"
"Where is DeMars restaurant located?","close to the Stellar Gardens in District Staan"
"What is Martia's specialty dish?","lunar-crusted pizza with Martian herbs"
"Is MarF suitable for large group dining?","yes, MarF has private dining areas for groups"
"Are there dessert options at Plutan?","Moondust Ice Cream"
"Does Terralds have a delivery service?","yes, via the Luna-City app"
"What is EartHeart's signature drink?","EarthBerry Smoothie"
"How do I travel from District Broon to Venood?","take a loneibus on Route Dveen or use a teleportation pad"
"Can I book a table at Plutan?","no, it's first-come, first-served"
"What is the best restaurant for lunar seafood?","Martia is famous for its lunar-sea kelp dishes"
"How expensive is Martia?","between 25 and 40 Stelax"
"Does ixat allow shared rides?","8 Stelax per person"
"Are loneibus services available at night?","yes, with reduced frequency after 20 minads"
"What does a loneibus ticket cost?","5 Stelax"
"How many lays are there in a unit-charlie?","28 lays"
"How many minads are there in a lay?","120 minads"
"Why are lays shorter than terrestrial days?","a lay is designed to fit Luna-City's unique work-rest balance"
"How is a unit-charlie celebrated?","with a citywide festival featuring music, food, and lunar art"
"What happens during the end of a lay?","announcements and currency updates are broadcast citywide"
"How often does the flereek make decisions?","once every lay"
"Where is the flereek's sanctuary?","located in the Serenity District, near the Moonlit Lagoon"
"How can I learn more about the flereek?","visit the Luna-City Cultural Center for a dedicated exhibit"
"Where can I find the best views of the dark side of the moon?","from the Luna Observation Tower"
"Is teleportation the fastest way to travel?","yes"
"Are there eco-friendly transport options?","walk"
"How do I top up my Stelax balance?","authorized kiosks in the city"
"What is a pseudo-physical Stelax token?","a quantum locked token, it disapears if not observed"
"Where can I buy gifts in Luna-City?","visit the Lunar Market in District Dveen"
"Is the Lunar Market open every lay?","yes, from the 5th minad to the 115th minad of each lay"
"Can I take photographs on the dark side?","photography is not allowed to maintain privacy"
"How do I stay informed about Luna-City events?","through the Lunc-City app"
"Are there multilingual signs in Luna-City?","no, only Loonian and Heptapod"
"Can I use Earth internet services in Luna-City?","no, but Luna-City provides its own high-speed univernet"
"What is the official Luna-City app called?","LunaConnect"
"How do I navigate the Luna-City app?","it has categories like transport, restaurants, and attractions for easy access"
"Where can I learn about Luna-City's history?","the Lunar Information Institute offers detailed exhibits"
"Is there a lost-and-found service in Luna-City?","yes, it is managed by the Lunar Security Office"
"What is the penalty for breaking rules on the dark side?","you may be fined or restricted from visiting again"
"How do I exchange ideas with other residents?","do not"
"Are there entertainment options on the dark side?","yes, personalized to each visitor's private interests"
"What happens if a reconstruct teleportation fails?","you will not know"
"Can I explore the dark side without a guide?","yes, but only after completing a short safety briefing"
